xCor,zCor,zPrime,ignore1,ignore2
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
0.00000e+00,-2.06274e-05,-2.70859e-07,-2.60025e-04,6.33381e-05
